[2020-08-08T09:05:05.112] [INFO] default - gettree done id=zb&dbcode=hgyd&wdcode=zb&m=getTree
[2020-08-08T09:05:05.569] [INFO] default - gettree done id=A01&dbcode=hgyd&wdcode=zb&m=getTree
[2020-08-08T09:05:06.066] [INFO] default - gettree done id=A02&dbcode=hgyd&wdcode=zb&m=getTree
[2020-08-08T09:05:06.561] [INFO] default - gettree done id=A03&dbcode=hgyd&wdcode=zb&m=getTree
[2020-08-08T09:05:07.071] [INFO] default - gettree done id=A04&dbcode=hgyd&wdcode=zb&m=getTree
[2020-08-08T09:05:07.559] [INFO] default - gettree done id=A05&dbcode=hgyd&wdcode=zb&m=getTree
[2020-08-08T09:05:08.061] [INFO] default - gettree done id=A0E&dbcode=hgyd&wdcode=zb&m=getTree
[2020-08-08T09:05:08.565] [INFO] default - gettree done id=A06&dbcode=hgyd&wdcode=zb&m=getTree
[2020-08-08T09:05:09.055] [INFO] default - gettree done id=A07&dbcode=hgyd&wdcode=zb&m=getTree
[2020-08-08T09:05:09.554] [INFO] default - gettree done id=A08&dbcode=hgyd&wdcode=zb&m=getTree
[2020-08-08T09:05:10.072] [INFO] default - gettree done id=A09&dbcode=hgyd&wdcode=zb&m=getTree
[2020-08-08T09:05:10.555] [INFO] default - gettree done id=A0A&dbcode=hgyd&wdcode=zb&m=getTree
[2020-08-08T09:05:11.054] [INFO] default - gettree done id=A0B&dbcode=hgyd&wdcode=zb&m=getTree
[2020-08-08T09:05:11.559] [INFO] default - gettree done id=A0C&dbcode=hgyd&wdcode=zb&m=getTree
[2020-08-08T09:05:12.062] [INFO] default - gettree done id=A0D&dbcode=hgyd&wdcode=zb&m=getTree
[2020-08-08T09:05:12.558] [INFO] default - gettree done id=A0101&dbcode=hgyd&wdcode=zb&m=getTree
[2020-08-08T09:05:13.067] [INFO] default - gettree done id=A0102&dbcode=hgyd&wdcode=zb&m=getTree
[2020-08-08T09:05:13.564] [INFO] default - gettree done id=A0103&dbcode=hgyd&wdcode=zb&m=getTree
[2020-08-08T09:05:14.072] [INFO] default - gettree done id=A0104&dbcode=hgyd&wdcode=zb&m=getTree
[2020-08-08T09:05:14.565] [INFO] default - gettree done id=A0105&dbcode=hgyd&wdcode=zb&m=getTree
[2020-08-08T09:05:15.060] [INFO] default - gettree done id=A0106&dbcode=hgyd&wdcode=zb&m=getTree
[2020-08-08T09:05:15.575] [INFO] default - gettree done id=A0107&dbcode=hgyd&wdcode=zb&m=getTree
[2020-08-08T09:05:16.060] [INFO] default - gettree done id=A0108&dbcode=hgyd&wdcode=zb&m=getTree
[2020-08-08T09:05:16.594] [INFO] default - gettree done id=A010C&dbcode=hgyd&wdcode=zb&m=getTree
[2020-08-08T09:05:17.089] [INFO] default - gettree done id=A010D&dbcode=hgyd&wdcode=zb&m=getTree
[2020-08-08T09:05:17.561] [INFO] default - gettree done id=A010G&dbcode=hgyd&wdcode=zb&m=getTree
[2020-08-08T09:05:18.061] [INFO] default - gettree done id=A0206&dbcode=hgyd&wdcode=zb&m=getTree
[2020-08-08T09:05:18.575] [INFO] default - gettree done id=A0207&dbcode=hgyd&wdcode=zb&m=getTree
[2020-08-08T09:05:19.073] [INFO] default - gettree done id=A0208&dbcode=hgyd&wdcode=zb&m=getTree
[2020-08-08T09:05:19.609] [INFO] default - gettree done id=A0209&dbcode=hgyd&wdcode=zb&m=getTree
[2020-08-08T09:05:20.059] [INFO] default - gettree done id=A020L&dbcode=hgyd&wdcode=zb&m=getTree
[2020-08-08T09:05:20.558] [INFO] default - gettree done id=A020M&dbcode=hgyd&wdcode=zb&m=getTree
[2020-08-08T09:05:21.057] [INFO] default - gettree done id=A020N&dbcode=hgyd&wdcode=zb&m=getTree
[2020-08-08T09:05:21.569] [INFO] default - gettree done id=A020O&dbcode=hgyd&wdcode=zb&m=getTree
[2020-08-08T09:05:22.059] [INFO] default - gettree done id=A0301&dbcode=hgyd&wdcode=zb&m=getTree
[2020-08-08T09:05:22.571] [INFO] default - gettree done id=A040A&dbcode=hgyd&wdcode=zb&m=getTree
[2020-08-08T09:05:23.079] [INFO] default - gettree done id=A040B&dbcode=hgyd&wdcode=zb&m=getTree
[2020-08-08T09:05:23.553] [INFO] default - gettree done id=A040C&dbcode=hgyd&wdcode=zb&m=getTree
[2020-08-08T09:05:24.071] [INFO] default - gettree done id=A0704&dbcode=hgyd&wdcode=zb&m=getTree
[2020-08-08T09:27:28.616] [INFO] default - item A0203 data_index done
[2020-08-08T09:31:56.336] [INFO] default - item A010101 data_index done
[2020-08-08T09:32:16.837] [INFO] default - item A010101 monthdata done
[2020-08-08T09:32:17.755] [INFO] default - item A010102 data_index done
[2020-08-08T09:32:22.218] [INFO] default - item A010102 monthdata done
[2020-08-08T09:32:23.781] [INFO] default - item A010103 data_index done
[2020-08-08T09:32:40.117] [INFO] default - item A010103 monthdata done
[2020-08-08T09:32:41.105] [INFO] default - item A010104 data_index done
[2020-08-08T09:33:02.568] [INFO] default - item A010104 monthdata done
[2020-08-08T09:33:03.616] [INFO] default - item A010105 data_index done
[2020-08-08T09:33:08.049] [INFO] default - item A010105 monthdata done
[2020-08-08T09:33:09.895] [INFO] default - item A010106 data_index done
[2020-08-08T09:33:25.581] [INFO] default - item A010106 monthdata done
[2020-08-08T09:33:26.677] [INFO] default - item A010107 data_index done
[2020-08-08T09:33:48.510] [INFO] default - item A010107 monthdata done
[2020-08-08T09:33:49.440] [INFO] default - item A010108 data_index done
[2020-08-08T09:33:53.071] [INFO] default - item A010108 monthdata done
[2020-08-08T09:33:54.516] [INFO] default - item A010109 data_index done
[2020-08-08T09:34:06.942] [INFO] default - item A010109 monthdata done
[2020-08-08T09:34:07.834] [INFO] default - item A010201 data_index done
[2020-08-08T09:34:26.660] [INFO] default - item A010201 monthdata done
[2020-08-08T09:34:27.416] [INFO] default - item A010202 data_index done
[2020-08-08T09:34:31.186] [INFO] default - item A010202 monthdata done
[2020-08-08T09:34:32.658] [INFO] default - item A010203 data_index done
[2020-08-08T09:34:46.244] [INFO] default - item A010203 monthdata done
[2020-08-08T09:34:47.274] [INFO] default - item A010204 data_index done
[2020-08-08T09:35:04.685] [INFO] default - item A010204 monthdata done
[2020-08-08T09:35:05.598] [INFO] default - item A010205 data_index done
[2020-08-08T09:35:09.176] [INFO] default - item A010205 monthdata done
[2020-08-08T09:35:10.590] [INFO] default - item A010206 data_index done
[2020-08-08T09:35:22.601] [INFO] default - item A010206 monthdata done
[2020-08-08T09:35:23.639] [INFO] default - item A010207 data_index done
[2020-08-08T09:35:41.874] [INFO] default - item A010207 monthdata done
[2020-08-08T09:35:42.739] [INFO] default - item A010208 data_index done
[2020-08-08T09:35:46.300] [INFO] default - item A010208 monthdata done
[2020-08-08T09:35:47.737] [INFO] default - item A010209 data_index done
[2020-08-08T09:36:01.432] [INFO] default - item A010209 monthdata done
[2020-08-08T09:36:02.327] [INFO] default - item A010301 data_index done
[2020-08-08T09:36:23.684] [INFO] default - item A010301 monthdata done
[2020-08-08T09:36:24.852] [INFO] default - item A010302 data_index done
[2020-08-08T09:36:29.575] [INFO] default - item A010302 monthdata done
[2020-08-08T09:36:31.355] [INFO] default - item A010303 data_index done
[2020-08-08T09:36:49.063] [INFO] default - item A010303 monthdata done
[2020-08-08T09:36:50.021] [INFO] default - item A010304 data_index done
[2020-08-08T09:37:10.344] [INFO] default - item A010304 monthdata done
[2020-08-08T09:37:11.157] [INFO] default - item A010305 data_index done
[2020-08-08T09:37:14.899] [INFO] default - item A010305 monthdata done
[2020-08-08T09:37:16.382] [INFO] default - item A010306 data_index done
[2020-08-08T09:37:28.498] [INFO] default - item A010306 monthdata done
[2020-08-08T09:37:29.503] [INFO] default - item A010307 data_index done
[2020-08-08T09:37:47.923] [INFO] default - item A010307 monthdata done
[2020-08-08T09:37:48.755] [INFO] default - item A010308 data_index done
[2020-08-08T09:37:52.664] [INFO] default - item A010308 monthdata done
[2020-08-08T09:37:54.161] [INFO] default - item A010309 data_index done
[2020-08-08T09:38:06.483] [INFO] default - item A010309 monthdata done
[2020-08-08T09:38:07.886] [INFO] default - item A010401 data_index done
[2020-08-08T09:38:40.478] [INFO] default - item A010401 monthdata done
[2020-08-08T09:38:41.827] [INFO] default - item A010402 data_index done
[2020-08-08T09:39:15.479] [INFO] default - item A010402 monthdata done
[2020-08-08T09:39:16.878] [INFO] default - item A010403 data_index done
[2020-08-08T09:40:03.477] [INFO] default - item A010403 monthdata done
[2020-08-08T09:40:05.291] [INFO] default - item A010501 data_index done
[2020-08-08T09:40:46.750] [INFO] default - item A010501 monthdata done
[2020-08-08T09:40:48.400] [INFO] default - item A010502 data_index done
[2020-08-08T09:41:25.678] [INFO] default - item A010502 monthdata done
[2020-08-08T09:41:27.161] [INFO] default - item A010503 data_index done
